Project,BHK,Location,total_floors,Carpet Area,Super Area,Price,Price Per Sqft
Goodwill Breeza,2,Madhav Nagar,13,659,890,5510000,6192
Gulmohar Queenstown,2,EON Free Zone,11,850,1039,10500000,10106
Marvel Zephyr,4,EON Free Zone,12,3200,4355,34000000,7807
Godrej Hillside,3,Godrej Hillside,22,948,1200,10000000,8333
Kalpataru Harmony,3,Kalpataru Harmony,12,1280,1700,14900000,8765
Forest Trails Highland,3,Bhugaon,11,1450,2500,18500000,7400
Empress Court,2,Sopan Baug Society,11,1597,1650,18500000,11212
Yuvraj Classic,1,Yuvraj Classic,5,535,660,4100000,6212
Omega Paradise,2,Omega Paradise,10,820,1000,7800000,7800
Jade Residences,2,Jade Residences,9,789,960,5500000,5729
Godrej 24,2,Godrej 24,17,939,1245,10500000,8434
Mont Vert Vesta,2,Mont Vert Vesta,12,592,658,4230000,6429
Lunkad Shivpuram,1,Lunkad Shivpuram,7,500,563,3379999,6000
Porwal Road Residential,2,Porwal Road Residential,8,972,1061,8100000,7633
Ionia,2,Ionia,14,812,1005,5910000,5880
Mont Vert Pristine,2,Mont Vert Pristine,11,1250,1473,17400000,11812
G P Ratnadeep Wing B,1,Pimple Gurav,6,334,460,5500000,11957
Sai Sayaji Towers,1,Sai Sayaji Towers,9,720,799,5360000,6706
Godrej Skygreens,2,Godrej Skygreens,22,52,689,8000000,11612
Nirman Brookefield Willows,1,Nirman Brookefield Willows,9,430,518,3090000,5965
Panchawati,1,Panchawati,5,550,650,3800000,5846
Prakash Florence,2,Prakash Florence,4,824,1047,7250000,6925
Satyam Serenity,1,Satyam Serenity,11,482,599,5000000,8347
Sukhwani Hermosa Casa,3,Sukhwani Hermosa Casa,16,851,843,8730000,10352
Shivam Guruvihar,2,Shivam Guruvihar,5,680,775,2960000,3818
Sai Niwas,1,Sai Niwas,7,512,650,2100000,3231
VTP Blue Waters,2,VTP Blue Waters,23,650,900,8200000,9111
Nilesh Samruddhi,1,Nilesh Samruddhi,11,495,584,3000000,5140
Namrata Eco Valley,2,Namrata Eco Valley,4,580,754,3000000,3979
Riverdale Residences,3,Riverdale Residences,24,1100,1400,14200000,10143
Sentosa Pride,2,Punawale,15,907,1062,8100000,7627
Gupta Cherry Hills,2,Chinchwad,6,765,1071,6780000,6331
Sigma Blossoms,2,Sigma Blossoms,4,827,930,4280000,4600
Aura County,1,Aura County,10,501,651,4000000,6144
Majestique Signature Towers,3,Majestique Signature Towers,16,1180,1686,19000000,11269
Nyati Estate,3,Nyati Estate,6,1550,1700,12000000,7059
Sahyadri Utsav,2,Sahyadri Utsav,3,750,781,4500000,5762
Nyati Esteban I,3,Kad Nagar,12,1563,2000,14300000,7150
Gandharv Serenity,1,Gandharv Serenity,9,540,640,6000000,9375
Nanded City,2,Nanded City,11,697,900,6609999,7344
Marvel Cascada,2,Marvel Cascada,16,1060,1370,12800000,9343
Riverdale Heights,2,Riverdale Heights,23,732,732,9500000,12978
Kumar Puram,2,Swargate,11,700,1000,16500000,16500
Godrej Forest Grove,2,Mamurdi,8,48,624,6800000,10892
Siddhagiri Apartment,2,Siddhagiri Apartment,17,800,1100,6500000,5909
Panchshil Towers,6,Panchshil Towers,31,7500,7500,91100000,12147
AV Bhat Basant Bahar,4,Model Colony,5,1950,2500,37000000,14800
Aditya Chintamani Residency,3,Aditya Chintamani Residency,11,1050,1295,13000000,10039
Paranjape Sky One,3,Model Colony,14,1600,2400,37000000,15417
Nyati Eternity,2,Nyati Eternity,14,836,1129,6200000,5492
Godrej Boulevard,2,Godrej Boulevard,22,691,1000,7500000,7500
Silicon Bay,2,Silicon Bay,12,908,1260,10800000,8571
Amits Montecito,3,Amits Montecito,15,1610,2200,38000000,17273
Ekta Residency,1,Ekta Residency,6,490,580,3000000,5172
Savali Saffron,1,Savali Saffron,12,560,750,4200000,5600
Prabhat Vandan Apartments,4,Prabhat Vandan Apartments,5,1495,2013,33000000,16395
Arihant Garden,2,Arihant Garden,5,1075,1480,8500000,5743
Urban Gram Pirangut,3,Urban Gram Pirangut,12,931,1037,4970000,4794
Bhide Giri Darshan Apartment,1,Bhide Giri Darshan Apartment,4,460,600,2400000,4000
Venkatesh Galaxy,1,Venkatesh Galaxy,11,370,497,3579999,7196
ARK Viman Platinum,3,ARK Viman Platinum,4,1200,1750,15000000,8571
Krushnai Impirio,2,Ravet,11,742,941,5830000,6194
ARV Imperia,2,ARV Imperia,14,737,1050,4400000,4190
YashONE,1,YashONE,11,399,525,2630000,5007
Panchshil Towers,3,Panchshil Towers,31,2200,2840,27500000,9683
River Residency,1,River Residency,11,576,614,3010000,4900
Little Earth,2,Ravet,12,679,752,7200000,9574
Eiffel City Phase II,2,Eiffel City Phase II,10,582,856,3600000,4206
Shri Laxmi Vrindavan,1,Shri Laxmi Vrindavan,10,500,635,3200000,5039
Mangalya,2,Mangalya,6,700,826,5500000,6659
Magnum Lifestyle,1,Magnum Lifestyle,12,500,695,4000000,5755
GT Royal Palms,4,GT Royal Palms,5,990,1260,6750000,5357
Aayush Park Phase 2,1,Aayush Park Phase 2,13,410,590,2300000,3898
Sampanna Homes,2,Manjri,7,718,949,4370000,4604
Regent Hills,1,Regent Hills,11,570,524,2940000,5614
Hill Shire,2,Hill Shire,12,750,839,5000000,5959
Nakshatra Angan,3,Nakshatra Angan,12,900,1260,7500000,5952
Damodar Vihar,1,Manjri,4,412,485,2940000,6061
Ganesh Residency,2,Dapodi,6,928,1008,10800000,10714
Project Clover Village,2,Project Clover Village,6,1000,1200,14000000,11667
Noble Niwas,4,Noble Niwas,10,1317,1661,21400000,12885
Vihana Mitribute Homes,2,Vihana Mitribute Homes,12,760,980,7500000,7653
Venerable Apartments,1,Venerable Apartments,5,510,632,3600000,5696
Aura County,1,Aura County,8,400,575,3400000,5913
YashOne Wakad Central,2,YashOne Wakad Central,22,725,933,9200000,9862
Vertical Oriana,2,Vertical Oriana,14,836,1089,8600000,7897
Regulus,3,Regulus,9,964,1120,12600000,11250
Kolte Patil 24K Atria,4,Pimple Nilakh,12,2668,3276,50500000,15417
Tanishq Apartment,2,EON Free Zone,7,850,1100,8500000,7727
Kohinoor Begonia,2,Kohinoor Begonia,7,640,820,4500000,5488
Spring Glory Co Operative Society,1,Spring Glory Co Operative Society,6,550,650,4500000,6923
Enerrgia Skyi Manas Lake,2,Enerrgia Skyi Manas Lake,12,700,756,5920000,7831
ARV Uthville,2,ARV Uthville,14,741,920,8800000,9565
Tanish Orchid Phase II,1,Tanish Orchid Phase II,12,400,597,3500000,5863
Radhika Residency,2,Vishrantwadi,7,784,1064,7300000,6861
VTP Cygnus,1,Manjri,23,350,430,4800000,11163
Shree Apartment,1,Shree Apartment,5,460,620,5300000,8548
SKYi Star Town,3,SKYi Star Town,13,724,1040,6000000,5769
Vision Starwest,2,Vision Starwest,12,624,796,6700000,8417
The Reino,1,The Reino,8,484,570,2020000,3543
Sobha Carnation,4,Sobha Carnation,2,2800,3200,23000000,7188
Aaditya Malhar,1,Ravet,12,430,676,4320000,6395
Kumar Sophronia,3,Kumar Sophronia,10,1300,1369,16399999,11976
Atria Grande,2,Atria Grande,10,1150,1200,7000000,5833
Kolte Patil 24K Stargaze,5,Kolte Patil 24K Stargaze,14,3400,4600,35000000,7609
Ganga Amber,2,Ganga Amber,13,756,1100,6900000,6273
The Prestige Avenue,2,The Prestige Avenue,11,788,1000,9000000,9000
Hari Ganga,2,Vishrantwadi,11,900,1100,11000000,10000
Bhumi Mangalmurti Heights,1,Bhumi Mangalmurti Heights,4,583,650,3000000,4615
Silver Palm Grove,2,Ravet,12,900,1140,8100000,7105
Shri Renuka Vanshri Mamurdi,1,Mamurdi,10,433,593,3000000,5059
Viento,1,Viento,5,410,479,2440000,5098
Ajmera Aria,4,Ajmera Aria,18,5850,7000,160000000,22857
Prasun Savoy,2,Prasun Savoy,11,700,905,6500000,7182
Suyash Greens,3,Suyash Greens,8,1020,1230,6500000,5285
Manohar Residency,4,Manohar Residency,4,2800,3300,35100000,10636
Dev Exotica,2,Dev Exotica,12,1050,1150,9500000,8261
Sunshine Hills,1,Sunshine Hills,7,485,620,2620000,4227
Ganga Platino Commercial,3,EON Free Zone,5,1450,1850,19000000,10270
Yashone Infinitee Phase II,3,Yashone Infinitee Phase II,22,860,1204,9300000,7724
Kosmic Kourtyard,3,Kosmic Kourtyard,14,890,1299,6900000,5312
VTP Blue Waters,2,VTP Blue Waters,26,860,1080,7600000,7037
Parijat Apartment Vadgaon Budruk,2,Parijat Apartment Vadgaon Budruk,3,950,1200,6500000,5417
Kolte Patil Life Republic Sector R7 7th Avenue I Towers,3,Kolte Patil Life Republic Sector R7 7th Avenue I Towers,22,1260,1700,10000000,5882
Tamarind Park,2,Tamarind Park,12,760,906,4780000,5276
Raheja Gardens,1,Raheja Gardens,4,535,586,5000000,8538
Ganga Platino,2,Ganga Platino,17,960,1359,15000000,11038
Dhanashree Aangan,1,Dhanashree Aangan,9,460,637,2600000,4082
Bramha Sun City Phase II,4,Bramha Sun City Phase II,9,1650,1900,19000000,10000
Apostrophe,3,Apostrophe,10,1250,1625,13500000,8308
Krishna Amorapolis,2,Krishna Amorapolis,13,750,1050,6200000,5905
Tatva,2,Tatva,11,785,1038,9000000,8671
Royal Empire,1,Royal Empire,7,464,533,3370000,6325
Suyog Space,2,Suyog Space,12,738,996,6550000,6576
Park Xpress II,3,Park Xpress II,13,1192,1585,19500000,12303
Nanded City,3,Nanded City,22,1265,1553,13000000,8371
Supreme Amadore,4,Supreme Amadore,17,2380,2980,43000000,14430
Aditya Comfort Zone,3,Aditya Comfort Zone,9,1150,1465,13500000,9215
Mont Vert Grande,3,Mont Vert Grande,20,1200,1500,15000000,10000
Anmol Apartments,1,Anmol Apartments,2,600,616,4600000,7463
Velstand Phase 2,3,Velstand Phase 2,22,1120,1512,15700000,10384
Rajaveer Palace Phase I,2,Pimple Saudagar,7,820,1107,8700000,7859
Kolte Downtown Cheryl,2,EON Free Zone,12,870,1350,10000000,7407
Sacred Heart Town,2,Sacred Heart Town,11,1050,1380,14000000,10145
Imperial Towers,2,Imperial Towers,11,700,900,7200000,8000
Ace Abode,3,Kiwale,14,940,1100,6450000,5863
Aditya Comfort Zone,3,Aditya Comfort Zone,9,1400,1750,13799999,7886
Pate Vikrant,3,Navi Peth,11,1097,1535,21000000,13681
Blue Ridge,2,Blue Ridge,25,1040,1385,12100000,8736
Kolte Downtown Cheryl,2,Ashoka Nagar,11,840,1144,10000000,8739
Gagan Adira,2,Gagan Adira,13,815,1100,7090000,6445
Siddharth Nagar Phase 3,2,Siddharth Nagar Phase 3,5,680,900,6400000,7111
Vitthal Sanskruti,2,Vitthal Sanskruti,4,730,850,4100000,4824
Park Infinia,2,Park Infinia,14,764,1032,5800000,5620
Marvel Citrine,3,Marvel Citrine,12,1300,1670,14600000,8743
Horizons,2,Horizons,12,747,1050,7600000,7238
Ozone Springs,2,Ozone Springs,11,810,1100,7200000,6545
Intercontinental Swapna Nagari,2,Intercontinental Swapna Nagari,11,550,850,2680000,3153
Neco Skypark,3,Pimple Nilakh,12,1000,1345,11800000,8773
Taneshq Jewel,2,Thergaon,5,760,915,5600000,6120
Kolte Patil 24K Atria,4,Pimple Nilakh,16,2730,3740,55000000,14706
Krishna Amorapolis,3,Krishna Amorapolis,13,1021,1379,7700000,5584
Amit Colori Phase II,2,Amit Colori Phase II,12,500,700,4350000,6214
Excellaa Prospera,3,Chandani Chowk,25,1139,1700,14700000,8647
Atul Hill View Residency,2,Atul Hill View Residency,6,675,890,7800000,8764
Konark Splendour,2,Konark Splendour,9,900,1140,9500000,8333
Akshar Elementa,2,Akshar Elementa,15,830,1112,8500000,7644
Green Valley,2,Green Valley,10,828,1060,8000000,7547
Chaitraban Residency,3,Chaitraban Residency,8,950,1097,11700000,10665
Panchshil Towers,3,Panchshil Towers,30,2200,2840,32200000,11338
Sky Lounge,4,Sky Lounge,12,2900,3200,40000000,12500
Mayuri Sunrise,2,Mayuri Sunrise,12,700,985,5700000,5787
Kolte Patil Life Republic,2,Marunji,22,820,920,5500000,5978
Platinum Glory,3,Platinum Glory,10,1139,1537,11000000,7157
Majestique Venice,2,Benkar Nagar,12,800,1000,5600000,5600
Kunal Iconia,3,Mamurdi,12,1251,1353,7500000,5543
Rahul Towers,3,Bhusari Colony,10,1250,1500,16000000,10667
Rose Icon,2,Pimple Saudagar,7,800,1210,8000000,6612
Godrej Infinity,2,Godrej Infinity,18,866,1150,8650000,7523
Paramount Madhupushpa Phase 1 CHS,2,Paramount Madhupushpa Phase 1 CHS,12,880,1180,8000000,6780
Omega Paradise,3,Omega Paradise,12,1250,1500,10000000,6667
Krishna Amorapolis,2,Krishna Amorapolis,13,704,1023,6800000,6647
Kings Way,2,Kings Way,13,1050,1313,10500000,7997
Pristine Prolife,2,Pristine Prolife,3,900,1150,9600000,8348
Puraniks Abitante Fiore,1,Puraniks Abitante Fiore,22,489,650,4850000,7462
Gera Trinity Towers,3,EON Free Zone,15,1565,1979,21500000,10864
Suvidha Vrundavan,2,Suvidha Vrundavan,7,900,851,2630000,3091
Bramha Majestic,2,Bramha Majestic,9,830,1025,6500000,6341
Elena Homes,2,Elena Homes,11,694,937,5500000,5870
Mantra 29 Gold Coast Phase 6,2,Mantra 29 Gold Coast Phase 6,7,880,960,7000000,7292
Rahul Arcus,4,Rahul Arcus,21,2136,2850,25000000,8772
Ekdant Corner,1,Ekdant Corner,5,400,600,2500000,4167
Shagun Society,2,Ravet,3,790,1027,5400000,5258
Sukhwani Celaeno,3,Pimple Saudagar,12,1050,1450,12900000,8897
Pate Vikrant,3,Navi Peth,10,1500,1600,21000000,13125
K Shire,3,Punawale,22,1067,1493,10400000,6966
Gera World of Joy,3,Gera World of Joy,14,1120,1500,17000000,11333
Nyati Epitome,3,Nyati Epitome,15,1100,1457,10400000,7138
Kingston Elysia,2,Kingston Elysia,9,700,905,4350000,4807
Kumar Pratham,2,Kumar Pratham,11,870,1150,8000000,6957
The Balmoral Riverside,4,The Balmoral Riverside,36,1890,2700,28800000,10667
Kumar Prospera,2,Kumar Prospera,23,850,868,11500000,13249
The Ovo Life,3,The Ovo Life,11,1320,1692,10200000,6028
Shivalaya Society,2,Shivalaya Society,4,940,1000,6000000,6000
Ekta California,4,Palace Orchard,12,2950,3705,23500000,6343
Nanded City,2,Nanded City,7,785,1104,14900000,13493
Sunshree Kangan,2,Sunshree Kangan,6,900,1100,7100000,6455
Rohan Garima Phase II,3,Rohan Garima Phase II,12,1020,1290,22500000,17442
Yashwin Orizzonte,3,Yashwin Orizzonte,30,953,1300,13500000,10385
Hermes Drome,2,Hermes Drome,7,850,1250,11500000,9200
Mystique Moods,3,Mystique Moods,8,1250,1600,16800000,10500
Shreeya Sneh,1,Shreeya Sneh,4,520,630,2870000,4552
Riddhi Siddhi Heights,2,Riddhi Siddhi Heights,18,730,1048,8200000,7824
Amits Montecito,3,Amits Montecito,15,1610,2250,35000000,15556
Tanish Vikas,1,Alandi,4,451,580,2950000,5086
Sun Exotica,2,Yewalewadi,10,824,905,5300000,5858
Kolte Patil 24k Sereno,2,Kolte Patil 24k Sereno,18,923,1132,13500000,11926
Paranjape Blue Ridge,2,Paranjape Blue Ridge,27,872,1372,9000000,6560
Konark Exotica,2,Konark Exotica,7,930,1175,6300000,5362
Ajmera Aria,4,Ajmera Aria,22,5000,7000,160000000,22857
Kalpataru Splendour,2,Kalpataru Splendour,8,1046,1360,9800000,7206
Bramha the Collection,2,Bramha the Collection,29,765,1033,11000000,10649
Vilas Javdekar,2,Vilas Javdekar,22,810,1100,10200000,9273
Pashankar Yin Yang,3,Pashankar Yin Yang,12,1210,1443,13000000,9009
Kohinoor S3 Lifestyle,3,Pimple Saudagar,12,1250,1500,10500000,7000
Zen Estate,2,Zen Estate,15,747,850,9700000,11412
The Parkland,2,The Parkland,11,971,1322,11600000,8775
Krishna Amorapolis,2,Krishna Amorapolis,13,750,1050,6800000,6476
City One Skyve,2,Ravet,19,765,765,6500000,8497
Kunal Aspiree Phase II,3,Kunal Aspiree Phase II,16,1250,1360,16000000,11765
High Mount Phase 2,2,High Mount Phase 2,11,950,750,6200000,8267
VTP Earth One,3,VTP Earth One,34,926,926,11200000,12095
Trillium,2,Trillium,11,900,1050,11000000,10476
Runwal Seagull,2,Runwal Seagull,12,1030,710,4500000,6338
Godrej Serene,3,Mamurdi,14,950,965,9700000,10052
Mahindra Citadel,3,Mahindra Citadel,23,1129,1524,12000000,7874
Yashwin Orizzonte,2,Yashwin Orizzonte,24,732,1032,10000000,9690
Nyati Enclave,3,Nyati Enclave,6,1270,1357,10400000,7664
Yashwin 2,3,Yashwin 2,11,1570,1570,15000000,9554
Tanish Orchid,1,Tanish Orchid,12,460,580,3300000,5690
Tennessee,3,Tennessee,12,1300,2040,9500000,4657
Little Earth Apartments,2,Mamurdi,12,787,900,6050000,6722
Kolte Patil Life Republic,2,Hinjewadi Rajiv Gandhi Infotech Park,22,850,900,7200000,8000
Riverdale Heights,1,Riverdale Heights,23,600,707,5900000,8345
Godrej Urban Retreat,2,Godrej Urban Retreat,23,51,689,9500000,13790
Paranjape Abhiruchi Parisar,2,Paranjape Abhiruchi Parisar,11,700,1000,7500000,7500
Ganga Hamlet,3,Ganga Hamlet,6,2200,2700,19900000,7370
Pebbles II,3,Pebbles II,17,1030,1408,14200000,10085
Karan Celista,3,Karan Celista,9,1400,1860,16000000,8602
Majestique Mrugavarsha,2,Majestique Mrugavarsha,14,765,1035,6000000,5797
10 North,3,10 North,5,1900,2700,26000000,9630
Rohan Abhilasha,2,Rohan Abhilasha,10,900,1215,7100000,5844
Dahanukar Dahanukar Colony,2,Dahanukar Colony,7,698,942,12500000,13270
El Regalo,2,El Regalo,12,740,1010,5200000,5149
Gera World of Joy,2,Ashoka Nagar,20,780,952,10000000,10504
Yoo Pune,4,Yoo,20,5626,5626,76000000,13509
Raheja Vistas,3,Raheja Vistas,30,1727,2200,25000000,11364
Majestique Euriska,2,Majestique Euriska,6,807,986,7140000,7238
Kingston Atlantis,3,Kingston Atlantis,14,1123,1450,9000000,6207
Kalaapi Sucasa Phase I,2,Kalaapi Sucasa Phase I,12,1100,1200,8800000,7333
Paramount Madhupushpa Phase 1 CHS,3,Paramount Madhupushpa Phase 1 CHS,12,1255,1565,12000000,7668
Nyati Evita,2,Nyati Evita,10,755,927,8190000,8832
Bhakti Pride Apartment,3,Bhakti Pride Apartment,3,1226,1400,8000000,5714
Wellwisher Aairah Terrazo,3,Wellwisher Aairah Terrazo,6,1300,1470,19300000,13125
Godrej Park Greens,3,Mamurdi,22,601,637,7050000,11060
Kohinoor Ambrosia,2,Kohinoor Ambrosia,9,900,1135,5400000,4758
Oxford Comforts,2,Oxford Comforts,5,920,1020,6600000,6471
Megapolis Sunway,2,Megapolis Sunway,14,804,1007,6500000,6455
Balaji Paradise,2,Balaji Paradise,9,776,930,5100000,5484
Godrej Boulevard,1,Manjri,23,550,560,4300000,7679
Karma Iconic,2,Karma Iconic,14,760,707,4560000,6447
Xrbia Ambi,1,Xrbia Ambi,11,230,300,1600000,5333
The Canary,4,Balewadi Gaon,28,1700,2100,20000000,9524
Nyati Emerald,2,Nyati Emerald,30,838,1131,9500000,8400
Naren Hills,3,Naren Hills,9,1250,1375,8500000,6182
Meadows Habitat,2,Meadows Habitat,7,800,969,8370000,8641
Tejraj Elevia,4,Tejraj Elevia,30,1613,2177,24500000,11254
Power Boulevard,3,Power Boulevard,10,1350,1850,19000000,10270
Majestique Towers,3,Majestique Towers,16,980,1450,13200000,9103
Craft Apartment,1,Craft Apartment,4,460,515,5000000,9709
Godrej Prana,2,Godrej Prana,14,851,1057,5600000,5298
Tanish Orchid,1,Tanish Orchid,12,500,651,3479999,5346
Rohan Palace,1,Rohan Palace,4,500,705,4500000,6383
Chirag Grande View 7,1,Chirag Grande View 7,11,430,659,4700000,7132
Sara City C,2,Sara City C,6,750,845,2800000,3314
Imperial Towers,2,Imperial Towers,11,980,920,7820000,8500
Amit Bloomfield,2,Amit Bloomfield,12,900,1079,7709999,7143
Star City,2,Star City,11,750,768,4190000,5455
P S Villa,1,Manjri,4,560,660,4500000,6818
Pinnacle Neelanchal,2,Pinnacle Neelanchal,12,695,910,5850000,6429
Vishhram Daffodils,1,Vishhram Daffodils,10,437,398,2089999,5252
Fragrancia,3,Fragrancia,6,1185,1883,30000000,15932
Vanashree Apartment,1,Vanashree Apartment,6,320,432,3500000,8102
Kalbhor Lake Paradise,3,Kalbhor Lake Paradise,4,1136,1360,5800000,4265
Rohan Abhilasha 2,1,Rohan Abhilasha 2,9,450,500,4500000,9000
Sara Orchids,1,Sara Orchids,12,524,679,2800000,4124
Mont Vert Vesta,2,Mont Vert Vesta,13,611,895,3760000,4202
Sunshine Hills,2,Sunshine Hills,14,700,890,4400000,4944
Sai Sadan Apartment Dhankawadi,2,Sai Sadan Apartment Dhankawadi,6,760,801,3790000,4733
Reputed Harsh Vihar,2,Wireless Colony,7,836,901,8840000,9814
Neelaya,1,Neelaya,12,436,660,2950000,4470
K Raheja Viva,2,K Raheja Viva,2,1200,1800,13000000,7222
Mountscape,1,Mountscape,9,445,579,2790000,4815
Treedom Park,5,Vishrantwadi,10,2700,3000,34000000,11333
Lokmangal KDR Group Enclave,1,Lokmangal KDR Group Enclave,5,440,571,2500000,4378
Empire Estate Federation 2,2,Empire Estate Federation 2,5,700,905,9600000,10608
Rawat Capstone,2,Rawat Capstone,9,950,1150,7200000,6261
Godrej Elements,3,Godrej Elements,11,1168,1284,15000000,11682
Green Hive,1,Green Hive,9,450,486,2800000,5761
Bhoomi Heights Pune,1,Bhoomi Heights,5,575,658,3479999,5286
Bhikansheth Park,2,Dapodi,3,625,750,5000000,6667
Ace Aastha,1,Ace Aastha,12,300,420,3100000,7381
Nilesh K A,4,Nilesh K A,15,1925,2368,38700000,16346
Soham Riveria,3,Sun City,7,995,1294,13500000,10433
Samarthshree Riverine Greens,3,Samarthshree Riverine Greens,10,1000,1400,15000000,10714
Nyati Eternity,1,Nyati Eternity,12,500,689,3800000,5515
Leisure Town,2,Leisure Town,12,730,1000,8000000,8000
Pinnac Gangotri,2,Pinnac Gangotri,7,800,980,9500000,9694
Eon Waterfront,4,Eon Waterfront,20,3400,4088,42000000,10274
Raj Vimal Terraces Bawdhan,2,Raj Vimal Terraces Bawdhan,5,950,1200,7500000,6250
Ganga Amber,2,Ganga Amber,12,636,749,7500000,10013
Sairaj Durga Terrace,2,Sairaj Durga Terrace,4,695,763,3500000,4587
Shriniwas Serene County,2,Shriniwas Serene County,6,504,568,4500000,7924
Park Street,2,Park Street,12,1200,1750,16000000,9143
Sun Exotica,2,Yewalewadi,11,750,844,5200000,6161
Anika Piccadilly,2,Punawale,22,783,1057,6800000,6433
Forest County,3,Forest County,12,1550,1855,25000000,13477
Amanora Gold Towers,2,Amanora Gold Towers,33,720,1000,9300000,9300
Aishwaryam Hamara,2,Aishwaryam Hamara,12,520,750,4000000,5333
Clover Village Villa,2,Clover Village,8,1100,1350,10500000,7778
Kolte-Patil Green Acre,2,Kolte-Patil Green Acre,7,1100,1290,11500000,8915
Trimurti,2,Trimurti,3,750,950,7000000,7368
Bhoomi Residency,1,Bhoomi Residency,5,450,550,3300000,6000
Daffodils Avenue,1,Daffodils Avenue,12,447,664,2500000,3765
Sai Laxmi Galaxy,2,Vishrantwadi,5,876,876,7000000,7991
Green Hive,1,Green Hive,9,480,572,3060000,5354
Gulmohar Orchids,2,Gulmohar Orchids,9,930,1350,10200000,7556
Raheja Vista Premiere,2,Raheja Vista Premiere,18,1050,1350,11600000,8593
Krishna Amorapolis,3,Krishna Amorapolis,13,1021,1379,7500000,5439
Pride Valencia,3,Pride Valencia,10,1200,1750,18000000,10286
Sagitarius Bluegrass Residences,3,Sagitarius Bluegrass Residences,22,1164,1566,21000000,13409
Nanded City,2,Nanded City,22,950,1100,10000000,9091
Codename Fireworks,2,Codename Fireworks,30,824,1100,8950000,8136
The Mpire Township,1,The Mpire Township,7,450,630,3130000,4971
Sai Fortune,3,Sai Fortune,11,888,1200,6800000,5667
The Balmoral,3,The Balmoral,33,1258,1750,19000000,10857
Elina Liva,2,Elina Liva,27,822,1111,7720000,6950
SURBHI MANGALAM,2,SURBHI MANGALAM,7,670,917,5500000,5998
Global Enrise,3,Global Enrise,12,1072,1256,11500000,9156
Shriram society vadgaon sheri,1,Shriram society vadgaon sheri,3,480,850,4500000,5294
GPL Audumber,3,Atul Nagar,12,1279,1700,13000000,7647
Rohan Mithila,2,Mhada Colony-Viman Nagar,6,978,1000,11500000,11500
Marvel Cascada,4,Marvel Cascada,20,2300,3000,39000000,13000
Kunal Aspiree,3,Kunal Aspiree,15,1250,1580,15500000,9810
Hari Ganga,3,Vishrantwadi,11,1250,1550,18000000,11613
Megapolis Serenity,2,Megapolis Serenity,19,698,1116,5390000,4830
Omkar Blossom,2,Omkar Blossom,4,550,715,3700000,5175
Surya Skies,3,Punawale,12,985,1280,7080000,5531
Eiffel City,3,Eiffel City,12,661,861,3600000,4181
Amit Colori,2,Amit Colori,11,1031,735,4320000,5875
VTP Dolce Vita,2,VTP Dolce Vita,12,709,950,7350000,7737
Kumar Paradise,3,Kumar Paradise,21,1100,1295,10000000,7722
Mantri Lavendula,3,Chandani Chowk,9,1300,1400,14000000,10000
Malpani The Crest,2,Pimple Saudagar,7,865,1107,9200000,8311
Lodha Bella Vita,2,Lodha Bella Vita,21,810,1100,9500000,8636
Sukhwani Skylines,2,Sukhwani Skylines,14,750,1050,7500000,7143
VTP Solitaire,3,VTP Solitaire,14,1075,1500,14800000,9867
Vertillas,3,Vertillas,21,1560,2101,17500000,8329
Yashashree,1,Yashashree,12,600,685,5500000,8029
Godrej Serene,2,Mamurdi,22,762,1200,7400000,6167
Nyati Iris,3,Nyati Iris,12,1100,1400,8300000,5929
Kumar Puram,2,Kumar Puram,7,900,1050,16500000,15714
Nyati Elysia,2,Nyati Elysia,28,824,1113,10500000,9434
Casa Imperia,2,Casa Imperia,12,750,970,7200000,7423
Godrej Rejuve,2,Godrej Rejuve,21,703,850,7700000,9059
Cosmos,2,Cosmos,10,950,1050,10000000,9524
La Tierra,2,Siddheshwar Nagar,11,850,1040,9300000,8942
ArcVista,2,ArcVista,15,800,1028,6500000,6323
Marvel Imperial,4,Marvel Imperial,3,3000,4100,70000000,17073
VTP Urban Space,4,VTP Urban Space,12,2500,2850,22500000,7895
Acolade,2,Acolade,9,1250,1300,9700000,7462
Pristine Prolife III,2,Pristine Prolife III,12,750,1004,8200000,8167
Bramha Sun City Phase 2,3,Bramha Sun City Phase 2,9,1800,2150,30000000,13953
Gagan MiCasaa,1,Gagan MiCasaa,11,530,762,3000000,3937
Jasminum,3,Jasminum,11,1300,1500,20000000,13333
Legacy Aeo,3,Legacy Aeo,12,1325,1780,19000000,10674
Godrej Rejuve,2,Godrej Rejuve,19,703,980,8800000,8980
K Raheja Gardens,2,K Raheja Gardens,7,850,1040,9800000,9423
Kolte-Patil Stargaze Platinum Series,3,Mokai Vasti,14,1140,1600,13100000,8188
The Orchard,2,The Orchard,11,700,825,4000000,4848
Leisure Town,1,Leisure Town,12,520,650,5500000,8462
Gagan Adira,2,Gagan Adira,14,815,1050,7600000,7238
Mantra Monarch,2,Mantra Monarch,22,790,1100,9100000,8273
Pristine Prolife,3,Pristine Prolife,12,1250,1550,13000000,8387
Godrej Infinity,2,Sasane Colony,22,750,1091,8000000,7333
Karia Konark Orchid,3,Karia Konark Orchid,12,1200,1650,11500000,6970
El Homes,2,Baner Gaon,10,650,850,7900000,9294
Green City,2,Green City,11,700,930,4350000,4677
Bramha SkyCity,3,Bramha SkyCity,11,850,1160,7300000,6293
